mAh,V
40.57028586,4.113718379
93.11024472,4.061824315
144.4561136,4.023800444
202.4358157,3.981939366
254.3123912,3.946614369
312.8227999,3.909250537
368.0921073,3.876209443
421.6176642,3.844778889
483.5776662,3.810763444
535.2647036,3.781493718
587.7288473,3.75373068
640.7995128,3.725602131
696.2962658,3.701296549
751.6508654,3.675008736
801.3761836,3.653991977
853.2338053,3.632980505
905.091427,3.615272165
964.7959257,3.596922653
1014.35066,3.582016265
1074.993372,3.566146429
1124.803982,3.55401831
1185.304541,3.538893828
1221.9233,3.529735848
1282.423859,3.514471234
1335.759878,3.503813241
1392.810843,3.489567714
1442.909551,3.476949177
1499.482881,3.462085882
1547.853002,3.449727309
1613.357366,3.431392177
1678.331023,3.410119612
1734.055222,3.38970495
1785.732783,3.364270505
1840.461907,3.329337945
1893.797925,3.272281958
1932.008805,3.17665193
1948.726064,3.088367628
1963.055144,2.921925302
1970.219684,2.790148098
1974.996044,2.660677165
10.24327785,4.166141099
1956.466069,3.000718511
