mAh,V
9.523946539,4.083582904
35.79392597,3.960459563
83.55752492,3.889437196
136.0974838,3.842062417
188.6374426,3.811083183
241.1774015,3.781785544
293.7173603,3.753328703
346.2573192,3.727814651
398.7972781,3.701880201
451.3372369,3.673843758
503.8771958,3.649170504
556.4171546,3.621974858
608.9571135,3.596460807
661.4970723,3.57262835
718.8133911,3.547966938
771.3533499,3.525395677
823.8933088,3.505767206
876.4332676,3.48782033
928.9732265,3.470714251
981.5131853,3.455710165
1034.053144,3.442808072
1086.593103,3.427383588
1139.133062,3.413640697
1191.673021,3.400738605
1244.21298,3.389097708
1296.752938,3.378297608
1349.292897,3.364975116
1401.832856,3.353754618
1454.372815,3.339591329
1506.912774,3.326689237
1559.452733,3.311685151
1611.992692,3.295840268
1664.53265,3.277893391
1717.072609,3.259946515
1769.612568,3.234012065
1822.152527,3.199249244
1874.692486,3.145988884
1927.232445,3.071288194
1970.219684,2.978426622
5.121638924,4.190921789
2002.560819,2.842155109
2030.729834,2.539745611
