time_s,v_mph,v_veh_m_per_s,accel_m_per_s,delta_distance_km,total_distance_km,brake_force_n,power_demand_drag_kw,power_demand_rolling_resistance_kw,power_demand_acceleration_kw,power_demand_accessories_kw,power_demand_vehicle_kw,total_vehicle_energy_mj,average_e_veh_over_vkt_mj_per_km,eta,instant_fuel_req_kw,total_fuel_energy_mj,fuel_consumption_liters,fuel_efficiency_km_per_l,avg_fuel_mj_per_km
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,0.0,0.0,0.016428695165765086,52.17352008143734,0.0,0.0,,
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,0.0008571428571428572,0.0,0.016428695165765086,52.17352008143734,0.05217352008143734,0.0015255415228490447,0.0,
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,0.0017142857142857144,0.0,0.016428695165765086,52.17352008143734,0.10434704016287467,0.0030510830456980894,0.0,
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,0.0025714285714285717,0.0,0.016428695165765086,52.17352008143734,0.15652056024431202,0.004576624568547134,0.0,
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,0.003428571428571429,0.0,0.016428695165765086,52.17352008143734,0.20869408032574935,0.006102166091396179,0.0,
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,0.004285714285714286,0.0,0.016428695165765086,52.17352008143734,0.2608676004071867,0.007627707614245225,0.0,
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,0.0051428571428571435,0.0,0.016428695165765086,52.17352008143734,0.31304112048862404,0.009153249137094269,0.0,
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,0.006000000000000001,0.0,0.016428695165765086,52.17352008143734,0.36521464057006137,0.010678790659943314,0.0,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,0.0068571428571428585,0.0,0.016428695165765086,52.17352008143734,0.4173881606514987,0.012204332182792358,0.0,
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,0.007714285714285716,0.0,0.016428695165765086,52.17352008143734,0.469561680732936,0.013729873705641403,0.0,
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,0.008571428571428574,0.0,0.016428695165765086,52.17352008143734,0.5217352008143734,0.01525541522849045,0.0,
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,0.00942857142857143,0.0,0.016428695165765086,52.17352008143734,0.5739087208958108,0.016780956751339497,0.0,
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,0.010285714285714287,0.0,0.016428695165765086,52.17352008143734,0.6260822409772482,0.01830649827418854,0.0,
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,0.011142857142857144,0.0,0.016428695165765086,52.17352008143734,0.6782557610586856,0.019832039797037588,0.0,
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,0.012,0.0,0.016428695165765086,52.17352008143734,0.730429281140123,0.021357581319886635,0.0,
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,0.012857142857142857,0.0,0.016428695165765086,52.17352008143734,0.7826028012215603,0.022883122842735682,0.0,
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,0.013714285714285714,0.0,0.016428695165765086,52.17352008143734,0.8347763213029977,0.024408664365584726,0.0,
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,0.01457142857142857,0.0,0.016428695165765086,52.17352008143734,0.8869498413844351,0.025934205888433773,0.0,
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,0.015428571428571427,0.0,0.016428695165765086,52.17352008143734,0.9391233614658725,0.02745974741128282,0.0,
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,0.016285714285714285,0.0,0.016428695165765086,52.17352008143734,0.9912968815473099,0.028985288934131867,0.0,
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,0.017142857142857144,0.0,0.016428695165765086,52.17352008143734,1.0434704016287473,0.03051083045698091,0.0,
21,3.0,1.34112,1.34112,0.0006705600000000001,0.0006705600000000001,0.0,0.0010060731788353794,0.3552224544,5.3958085632,0.8571428571428572,6.609179947921692,0.020876018545389417,31.132215678521558,0.09672445074229943,68.32998168715754,1.1037221525130447,0.032272577558860954,0.020778011882595572,1645.9707595338891
22,5.9,2.637536,1.2964159999999998,0.001989328,0.002659888,0.0,0.007652826051704862,0.6986041603200001,10.258031612927999,0.8571428571428572,11.821431456442562,0.030091324247571546,11.313004249641919,0.1386755834347205,85.24522604231427,1.1805097563777807,0.034517829133853234,0.0770583801688538,443.8193474228165
23,8.6,3.844544,1.207008,0.0032410399999999997,0.005900928,0.0,0.023700699327308,1.01830436928,13.921186093056,0.8571428571428572,15.820334018806168,0.04391220698519591,7.441576474953756,0.15888834487569692,99.56887669251566,1.2729168077451956,0.03721978970015191,0.15854275501121157,215.71468212206548
24,11.5,5.140960000000001,1.2964160000000007,0.004492752,0.010393679999999999,0.0,0.05667079799486141,1.3616860752000002,19.99446839808001,0.8571428571428572,22.26996812841773,0.06295735805880787,6.057273079295098,0.1784291858953891,124.81124103471697,1.3851068666088118,0.04050020077803543,0.256632801821487,133.26433627058097
25,14.3,6.392672,1.2517119999999995,0.005766816,0.016160496,0.0,0.10896171229861734,1.69322703264,24.00535276339199,0.8571428571428572,26.664684365473466,0.08742468430575347,5.409777293082679,0.18610002144684354,143.281468525192,1.5191532213887662,0.044419684835928834,0.3638138374842451,94.00412099905635
26,16.9,7.554976,1.1623039999999998,0.006973824000000001,0.02313432,0.0,0.17985641015782286,2.0010864931200003,26.343536474111996,0.8571428571428572,29.381622234532674,0.11544783760575654,4.99032768656077,0.18940681767553452,155.1244173526277,1.668356164327676,0.04878234398618936,0.474235514524466,72.11606670642043
27,17.3,7.733792,0.1788160000000003,0.007644384000000001,0.030778704,0.0,0.19293193338148085,2.04844948704,4.148777250816007,0.8571428571428572,7.247301528380346,0.13376229948721305,4.345936706341275,0.1031087990138217,70.28790556864936,1.7810623257883147,0.05207784578328405,0.5910133865383378,57.86670958557302
28,18.1,8.091424000000002,0.3576320000000015,0.007912608,0.038691312,0.0,0.22095382879779568,2.1431754748800005,8.681256443904038,0.8571428571428572,11.902528604724694,0.14333721455376558,3.7046356699862124,0.13917089229776347,85.52455479884834,1.8589685559720635,0.05435580573017729,0.711815628160569,48.04614937772241
29,20.7,9.253728,1.162303999999999,0.008672576000000001,0.047363888,0.0,0.3305040939060317,2.4510349353600005,32.26693520793597,0.8571428571428572,35.905617094344855,0.16724128740330035,3.530987308375114,0.19448271538219986,184.62112185025126,1.9940413942966133,0.058305303926801555,0.8123426997218336,42.10045835545877
30,21.7,9.700768,0.44703999999999944,0.009477247999999999,0.056841136,0.0,0.3807544682312919,2.56944242016,13.009893980159983,0.8571428571428572,16.817233725694134,0.19360271281331984,3.4060317304939125,0.16278905148578912,103.30690898559733,2.1380054097145376,0.06251477806182858,0.9092431863675944,37.61369951709863
31,22.4,10.013696,0.31292799999999943,0.009857232,0.06669836800000001,0.0,0.4188030752577278,2.65232765952,9.400697585663982,0.8571428571428572,13.328971177584567,0.20867581526495918,3.1286494935672065,0.14725730374561904,90.5148392544917,2.234916283834582,0.06534842935188837,1.02065755308123,33.50781062341108
32,22.5,10.058399999999999,0.04470399999999941,0.010036047999999999,0.076734416,0.0,0.4244371223211754,2.6641684079999997,1.348952140799982,0.8571428571428572,5.2947005282640145,0.21798765111788346,2.840806804574931,0.08221649772879869,64.39949006012444,2.3123734484918903,0.06761325872783304,1.1349019030258962,30.134763109318385
